구코드,동코드,구명,동명,동ID
11120,1112065,은평구,신사1동,14
11120,1112066,은평구,신사2동,15
11120,1112067,은평구,증산동,16
11120,1112068,은평구,수색동,17
11120,1112071,은평구,진관동,18
11120,1112072,은평구,불광2동,19
11120,1112073,은평구,응암3동,20
11120,1112074,은평구,역촌동,21
11130,1113052,서대문구,천연동,22
11130,1113062,서대문구,홍제1동,23
11130,1113064,서대문구,홍제3동,24
11130,1113065,서대문구,홍제2동,25
11130,1113066,서대문구,홍은1동,26
11130,1113068,서대문구,홍은2동,27
11130,1113069,서대문구,남가좌1동,28
11130,1113070,서대문구,남가좌2동,29
11130,1113071,서대문구,북가좌1동,30
11130,1113072,서대문구,북가좌2동,31
11130,1113073,서대문구,충현동,32
11130,1113074,서대문구,북아현동,33
11130,1113075,서대문구,신촌동,34
11130,1113076,서대문구,연희동,35
11140,1114059,마포구,용강동,36
11140,1114060,마포구,대흥동,37
11140,1114061,마포구,염리동,38
11140,1114063,마포구,신수동,39
11140,1114066,마포구,서교동,40
11140,1114068,마포구,합정동,41
11140,1114069,마포구,망원1동,42
11140,1114070,마포구,망원2동,43
11140,1114071,마포구,연남동,44
11140,1114072,마포구,성산1동,45
11140,1114073,마포구,성산2동,46
11140,1114074,마포구,상암동,47
11140,1114075,마포구,도화동,48
11140,1114076,마포구,서강동,49
11140,1114077,마포구,공덕동,50
11140,1114078,마포구,아현동,51
11150,1115051,양천구,목1동,52
11150,1115052,양천구,목2동,53
11150,1115053,양천구,목3동,54
11150,1115054,양천구,목4동,55
11150,1115057,양천구,신월1동,56
11150,1115058,양천구,신월2동,57
11150,1115059,양천구,신월3동,58
11150,1115060,양천구,신월4동,59
11150,1115061,양천구,신월5동,60
11150,1115062,양천구,신월6동,61
11150,1115063,양천구,신월7동,62
11150,1115064,양천구,신정1동,63
11150,1115065,양천구,신정2동,64
11150,1115066,양천구,신정3동,65
11150,1115069,양천구,신정6동,66
11150,1115070,양천구,신정7동,67
11150,1115071,양천구,목5동,68
11150,1115072,양천구,신정4동,69
11160,1116051,강서구,염창동,70
11160,1116052,강서구,등촌1동,71
11160,1116053,강서구,등촌2동,72
11160,1116054,강서구,등촌3동,73
11160,1116055,강서구,화곡본동,74
11160,1116057,강서구,화곡2동,75
11160,1116058,강서구,화곡3동,76
11160,1116059,강서구,화곡4동,77
11160,1116061,강서구,화곡6동,78
11160,1116063,강서구,화곡8동,79
11160,1116064,강서구,가양1동,80
11160,1116065,강서구,가양2동,81
11160,1116066,강서구,가양3동,82
11160,1116067,강서구,발산1동,83
11160,1116069,강서구,공항동,84
11160,1116070,강서구,방화1동,85
11160,1116071,강서구,방화2동,86
11160,1116072,강서구,방화3동,87
11160,1116073,강서구,화곡1동,88
11160,1116074,강서구,우장산동,89
11170,1117051,구로구,신도림동,90
11170,1117052,구로구,구로1동,91
11170,1117054,구로구,구로3동,92
11170,1117055,구로구,구로4동,93
11170,1117056,구로구,구로5동,94
11170,1117061,구로구,고척1동,95
11170,1117062,구로구,고척2동,96
11170,1117064,구로구,개봉2동,97
11170,1117065,구로구,개봉3동,98
11170,1117067,구로구,오류1동,99
11170,1117068,구로구,오류2동,100
11170,1117069,구로구,수궁동,101
11170,1117070,구로구,가리봉동,102
11170,1117071,구로구,구로2동,103
11170,1117072,구로구,개봉1동,104
11180,1118051,금천구,가산동,105
11180,1118052,금천구,독산1동,106
11180,1118053,금천구,독산2동,107
11180,1118054,금천구,독산3동,108
11180,1118055,금천구,독산4동,109
